Selecione de qual grupo PET faz parte:	GRR	1. Qual a frequência da tutora ou do tutor nas reuniões do grupo?	2. Qual a frequência da tutora ou do tutor nos eventos/atividades do PET?	 3. A tutora ou o tutor incentiva a participação em eventos nacionais e regionais do PET?	 4. A tutora ou o tutor cumpre com seus afazeres dentro dos prazos?	5. Quão disponível é a tutora ou o tutor para fazer orientação individualizada sobre aspectos acadêmicos e pessoais as alunas e os alunos?	6. A aplicação da verba de custeio é discutida com o grupo?	7. A tutora ou o tutor participa e não apenas delega tarefas?	8. A tutora ou o tutor compartilha as normativas do programa com as alunas e os alunos, bem com atualizações referentes ao programa?	9. A tutora ou o tutor respeita ideologias que diferem das suas, desde que não firam princípios contidos na declaração de direitos humanos bem como na constituição da República Federativa do Brasil?	10. A tutora ou o tutor é receptivo a sugestões das e dos petianos para projetos de ensino, pesquisa e extensão do grupo?	11. A tutora ou o tutor planeja as atividades do grupo juntamente com os petianos?	 12. A tutora ou o tutor supervisiona e orienta as ações dos integrantes do grupo?	13. A tutora ou o tutor promove discussões sobre condutas éticas que auxiliem na formação do petianos?	14. A tutora ou o tutor aplica adequadamente as consequências previstas para o descumprimento das obrigações do termo de compromisso e tarefas designadas por deliberações coletivas do grupo?	15. A tutora ou o tutor, de alguma forma, favorece alguma ou algum petiano em detrimento de outros?	16. A tutora ou o tutor se mostra proativo para buscar, junto a instâncias superiores e colegas de trabalho, soluções para suprir demandas materiais e administrativas do grupo?	17. Avalie outras dimensões, categorias ou indicadores ou faça comentários adicionais.	18. Avalie esse instrumento.
Engenharia Civil	20134341	Frequentemente	Frequentemente	Não sei	Frequentemente	Frequentemente	Sempre	Frequentemente	Não sei	Sempre	Sempre	Não sei	Frequentemente	Frequentemente	Não sei	Nunca	Frequentemente	Temos um tutor novo, então fica um pouco difícil avaliar certos aspectos. As respostas que aqui dei foram baseadas no pouco tempo de convivência que já tivemos. O tutor tem se mostrado uma pessoa próxima, aberta, preocupada e que se vê como um petiano dentro do grupo, entendendo a horizontalidade. Sempre busca estar por dentro do que fazemos e busca ajudar de alguma forma. Também incentiva os alunos não só dentro do PET mas também mostra uma preocupação com a saúde mental de cada integrante. Sem sombra de dúvidas está sendo um excelente tutor!	O instrumento é um pouco limitado ainda... Talvez algumas perguntas devessem ser mais específicas, explorando mais as competências do tutor junto aos grupos. Apesar disso já está sendo um ótimo instrumento de avaliação. Parabéns!
Matemática	20160278	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Nunca	Sempre		
Odontologia	20146959	Sempre	Às vezes	Sempre	Frequentemente	Frequentemente	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Não se aplica	Não se aplica	Frequentemente		Instrumentos assim são de grande importância
Engenharia Química	20155085	Sempre	Às vezes	Frequentemente	Sempre	Não sei	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Frequentemente	Às vezes	Não sei	Não sei	Nunca	Sempre		Eficiente e objetivo. 
História	20164086	Sempre	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Não sei	Às vezes	Frequentemente	Às vezes	Às vezes	Não sei	Não sei	Nunca	Às vezes	Não sei	Não se aplica	Entrei no grupo recentemente e avaliei o novo tutor que esta há 2 meses no cargo. Tive problemas com ele inicialmente pois, sem consultar o CLAA, alegou que não poderia estar no grupo por ser do período noturno e que fora um equívoco da antiga tutora, após conversas com o coordenador do curso e decorridas mais de 2 semanas, o atual tutor foi ao CLAA verificar minha situação. Perdi reuniões do grupo por conta desse ocorrido, e não houve um pedido de desculpa (nem por e-mail) nem um posicionamento em reunião - nada se falou sobre. Hoje percebo nas reuniões posições que me incomodam - críticas constantes ao atual trabalho do grupo mostrando seu desconhecimento sobre tal, a insistência para a divulgação de todo e qualquer trabalho nas redes sociais e a replicação destes em outras páginas - o que não cabe a nenhum de nós, mas só aos donos das outra páginas divulgar nosso trabalho ou não, a escolha é deles. Além de publicações que considero pessoais e não ligadas ao trabalho do grupo. Quanto a pesquisa coletiva, criticou a divisão do grupo, o tema escolhido e propõe, sobre certa resistência geral, uma hierarquia - temos que escolher um líder para a pesquisa, o que, segundo os outros membros, nunca ocorreu e sempre funcionou muito bem. Pode ser apenas um período de adaptação, mas deixo meu relato como forma de registrar o que ocorreu e o que ocorre.	Acho essa avaliação interessante, creio que será muito bom. 
Engenharia Industrial Madeireira	20110040	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Não sei	Sempre		
Estatística	20137558	Sempre	Frequentemente	Às vezes	Às vezes	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Sempre	Às vezes	Sempre		
Engenharia Industrial Madeireira	GRR20152710	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Nunca	Sempre		
Engenharia Industrial Madeireira	20122501	Sempre	Sempre	Às vezes	Sempre	Às vezes	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Às vezes	Raramente	Sempre		"Não gostei desse instrumento, pois as perguntas já induz a resposta. 
Até poderia ter essa avaliação, mas teria que ter algum complemento.

Na questão de sigilo,não me sinto a vontade nessa plataforma, pois tendo que colocar o GRR, já imaginei que não fosse tão sigilo essa plataforma."
Engenharia Industrial Madeireira	20162974	Sempre	Sempre	Não se aplica	Sempre	Raramente	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Sempre	Raramente	Sempre		Bom.
Engenharia Industrial Madeireira	20110961	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Às vezes	Às vezes	Às vezes	Às vezes	Raramente	Sempre	O tutor sempre se manteve a disposição do grupo e sempre foi muito atencioso com os problemas dos petianos seja dentro ou fora da Universidade. Sei que será boa a transição de tutores, mas sei que o grupo irá sentir falta do Professor Ivan, pois como é um Curso que ainda sofre preconceitos ele sempre se colocou a disposição para divulgar o Curso e o Grupo PET.	Particularmente não gostei da ferramenta, pois é tendenciosa e não engloba os verdadeiros problemas de cada grupo. Creio que será difícil fazer uma ferramenta que atenda as necessidades de todos os PETs mas, isso poderia ser resolvido com maiores questões discursivas do que com alternativas. 
Odontologia	20148274	Frequentemente	Raramente	Sempre	Às vezes	Frequentemente	Sempre	Às vezes	Raramente	Frequentemente	Sempre	Frequentemente	Às vezes	Às vezes	Raramente	Raramente	Às vezes		Excelente, abarca as questões mais presentes no cotidiano.
Ciências Econômicas	GRR20163494	Sempre	Sempre	Às vezes	Sempre	Frequentemente	Sempre	Frequentemente	Raramente	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Não sei	Sempre	.	Muito bom
Engenharia Química	20144773	Sempre	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Não sei	Nunca	Sempre		
Odontologia	GRR20144120	Frequentemente	Raramente	Sempre	Frequentemente	Sempre	Não sei	Frequentemente	Às vezes	Sempre	Sempre	Sempre	Às vezes	Às vezes	Não sei	Nunca	Não sei		
Matemática	20137568	Frequentemente	Frequentemente	Às vezes	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Sempre	Às vezes	Frequentemente	Sempre	Às vezes	Frequentemente	Raramente	Sempre		As perguntas poderiam vir acompanhadas de uma breve descrição, pois algumas soam ambíguas. O documento poderia conter uma breve explicação sobre os benefícios e consequências de preencher esta avaliação. 
Matemática	20159577	Sempre	Sempre	Não se aplica	Sempre	Não sei	Sempre	Sempre	Não se aplica	Sempre	Sempre	Sempre	Sempre	Não se aplica	Não se aplica	Não sei	Sempre		
Matemática	20160277	Sempre	Sempre	Não sei	Sempre	Não sei	Não sei	Sempre	Não sei	Não sei	Sempre	Sempre	Frequentemente	Não sei	Não se aplica	Não sei	Sempre		
Matemática	20160295	Sempre	Frequentemente	Frequentemente	Sempre	Frequentemente	Sempre	Frequentemente	Às vezes	Sempre	Frequentemente	Frequentemente	Frequentemente	Raramente	Não se aplica	Raramente	Frequentemente		
Matemática	20160265	Sempre	Sempre	Às vezes	Sempre	Frequentemente	Sempre	Sempre	Raramente	Sempre	Às vezes	Frequentemente	Às vezes	Às vezes	Não se aplica	Nunca	Frequentemente		
Matemática	GRR20160286	Sempre	Frequentemente	Às vezes	Frequentemente	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Às vezes	Frequentemente	Frequentemente	Às vezes	Às vezes	Raramente	Frequentemente		
Matemática	20159751	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Não sei	Nunca	Frequentemente		
Comunidades do Campo	20156925	Frequentemente	Às vezes	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Às vezes	Às vezes	Nunca	Sempre		Muito bom!
